"filename", "language", "JSON", "Markdown", "HTML", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Adam\Desktop\tentap-frontend\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Adam\Desktop\tentap-frontend\package-lock.json", "JSON", 12433, 0, 0, 0, 0, 0, 0, 1, 12434
"c:\Users\Adam\Desktop\tentap-frontend\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Adam\Desktop\tentap-frontend\public\index.html", "HTML", 0, 0, 17, 0, 0, 0, 23, 3, 43
"c:\Users\Adam\Desktop\tentap-frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Adam\Desktop\tentap-frontend\src\Api.js", "JavaScript", 0, 0, 0, 0, 214, 0, 2, 33, 249
"c:\Users\Adam\Desktop\tentap-frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\Adam\Desktop\tentap-frontend\src\App.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Adam\Desktop\tentap-frontend\src\App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\AdvancedSpacing.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\CenterScreen.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Constants.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\CourseContainer.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 8, 74
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\CourseInfo.js", "JavaScript", 0, 0, 0, 0, 94, 0, 0, 8, 102
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\DifficultySelection.js", "JavaScript", 0, 0, 0, 0, 139, 0, 1, 16, 156
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\ExerciseContainer.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 8, 84
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\HorizontalLine.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\ImagePreviewButton.js", "JavaScript", 0, 0, 0, 0, 68, 0, 0, 9, 77
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\ImageViewer.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\LoadingBar.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 7, 52
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\ModuleContainer.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 8, 79
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\AdminPage.js", "JavaScript", 0, 0, 0, 0, 891, 0, 0, 40, 931
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\CoursePage.js", "JavaScript", 0, 0, 0, 0, 196, 0, 1, 20, 217
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\CoursesPage.js", "JavaScript", 0, 0, 0, 0, 157, 0, 1, 15, 173
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\ExercisePage.js", "JavaScript", 0, 0, 0, 0, 356, 0, 0, 25, 381
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\Login.js", "JavaScript", 0, 0, 0, 0, 148, 0, 0, 18, 166
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\Register.js", "JavaScript", 0, 0, 0, 0, 218, 0, 0, 19, 237
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\StartPage.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 12, 163
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Pages\UserProfilePage.js", "JavaScript", 0, 0, 0, 0, 119, 0, 0, 15, 134
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\SourceContainer.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 8, 82
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\Spacing.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\SquareImageButton.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 9, 59
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\TextField.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 8, 74
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\ThickButton.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\ThinButton.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 10, 76
"c:\Users\Adam\Desktop\tentap-frontend\src\Components\WhiteLink.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\Adam\Desktop\tentap-frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\Adam\Desktop\tentap-frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 33, 0, 3, 3, 39
"c:\Users\Adam\Desktop\tentap-frontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Adam\Desktop\tentap-frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Adam\Desktop\tentap-frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 4, 1, 6
"Total", "-", 12503, 38, 17, 1, 3455, 51, 35, 385, 16485
